name,description,price,category,subcategory,group,inStock,image,quantity
Samsung Smartphones Model I 2029,"This is a premium Samsung Smartphones Model I 2029 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",22071.78,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,31
Samsung Smartphones Model J 2030,"This is a premium Samsung Smartphones Model J 2030 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",7358.88,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,96
Oppo Smartphones Model A 2021,"This is a premium Oppo Smartphones Model A 2021 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",16657.62,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,72
Oppo Smartphones Model B 2022,"This is a premium Oppo Smartphones Model B 2022 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",17852.97,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,34
Oppo Smartphones Model C 2023,"This is a premium Oppo Smartphones Model C 2023 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",10187.16,Smartphones,Oppo,Premium,FALSE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,0
Oppo Smartphones Model D 2024,"This is a premium Oppo Smartphones Model D 2024 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",21273.28,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,84
Oppo Smartphones Model E 2025,"This is a premium Oppo Smartphones Model E 2025 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",45257.08,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,78
Oppo Smartphones Model F 2026,"This is a premium Oppo Smartphones Model F 2026 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",43595.90,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,94
Oppo Smartphones Model G 2027,"This is a premium Oppo Smartphones Model G 2027 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",44443.87,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,48
Oppo Smartphones Model H 2028,"This is a premium Oppo Smartphones Model H 2028 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",27497.17,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,38
Oppo Smartphones Model I 2029,"This is a premium Oppo Smartphones Model I 2029 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",10595.06,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,19
Oppo Smartphones Model J 2030,"This is a premium Oppo Smartphones Model J 2030 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",12994.07,Smartphones,Oppo,Premium,TRUE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?q=80&w=800&auto=format&fit=crop,74
Vivo Smartphones Model A 2021,"This is a premium Vivo Smartphones Model A 2021 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",43346.72,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,16
Vivo Smartphones Model B 2022,"This is a premium Vivo Smartphones Model B 2022 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",23367.06,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,75
Vivo Smartphones Model C 2023,"This is a premium Vivo Smartphones Model C 2023 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",37673.42,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,11
Vivo Smartphones Model D 2024,"This is a premium Vivo Smartphones Model D 2024 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",17543.34,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,45
Vivo Smartphones Model E 2025,"This is a premium Vivo Smartphones Model E 2025 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",18395.80,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,47
Vivo Smartphones Model F 2026,"This is a premium Vivo Smartphones Model F 2026 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",31727.26,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,66
Vivo Smartphones Model G 2027,"This is a premium Vivo Smartphones Model G 2027 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",37704.60,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,85
Vivo Smartphones Model H 2028,"This is a premium Vivo Smartphones Model H 2028 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",44356.31,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,80
Vivo Smartphones Model I 2029,"This is a premium Vivo Smartphones Model I 2029 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",49519.92,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,99
Vivo Smartphones Model J 2030,"This is a premium Vivo Smartphones Model J 2030 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",6743.44,Smartphones,Vivo,Standard,TRUE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?q=80&w=800&auto=format&fit=crop,43
OnePlus Smartphones Model A 2021,"This is a premium OnePlus Smartphones Model A 2021 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",18043.40,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,14
OnePlus Smartphones Model B 2022,"This is a premium OnePlus Smartphones Model B 2022 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",28336.26,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,54
OnePlus Smartphones Model C 2023,"This is a premium OnePlus Smartphones Model C 2023 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",47737.47,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,53
OnePlus Smartphones Model D 2024,"This is a premium OnePlus Smartphones Model D 2024 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",15292.50,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,81
OnePlus Smartphones Model E 2025,"This is a premium OnePlus Smartphones Model E 2025 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",19045.51,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,61
OnePlus Smartphones Model F 2026,"This is a premium OnePlus Smartphones Model F 2026 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",28745.18,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,85
OnePlus Smartphones Model G 2027,"This is a premium OnePlus Smartphones Model G 2027 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",33842.25,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,43
OnePlus Smartphones Model H 2028,"This is a premium OnePlus Smartphones Model H 2028 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",16388.46,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,85
OnePlus Smartphones Model I 2029,"This is a premium OnePlus Smartphones Model I 2029 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",11056.38,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,67
OnePlus Smartphones Model J 2030,"This is a premium OnePlus Smartphones Model J 2030 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",21328.30,Smartphones,OnePlus,Standard,TRUE,https://images.unsplash.com/photo-1567581935884-3349723552ca?q=80&w=800&auto=format&fit=crop,97
Macbook Laptop Model A 2021,"This is a premium Macbook Laptop Model A 2021 designed for ultimate performance and style. Featuring the latest technology in laptop category.",15577.76,Laptop,Macbook,Premium,FALSE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,0
Macbook Laptop Model B 2022,"This is a premium Macbook Laptop Model B 2022 designed for ultimate performance and style. Featuring the latest technology in laptop category.",10242.92,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,87
Macbook Laptop Model C 2023,"This is a premium Macbook Laptop Model C 2023 designed for ultimate performance and style. Featuring the latest technology in laptop category.",12393.84,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,26
Macbook Laptop Model D 2024,"This is a premium Macbook Laptop Model D 2024 designed for ultimate performance and style. Featuring the latest technology in laptop category.",46160.47,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,49
Macbook Laptop Model E 2025,"This is a premium Macbook Laptop Model E 2025 designed for ultimate performance and style. Featuring the latest technology in laptop category.",9088.79,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,52
Macbook Laptop Model F 2026,"This is a premium Macbook Laptop Model F 2026 designed for ultimate performance and style. Featuring the latest technology in laptop category.",38815.18,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,15
Macbook Laptop Model G 2027,"This is a premium Macbook Laptop Model G 2027 designed for ultimate performance and style. Featuring the latest technology in laptop category.",32927.60,Laptop,Macbook,Premium,FALSE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,0
Macbook Laptop Model H 2028,"This is a premium Macbook Laptop Model H 2028 designed for ultimate performance and style. Featuring the latest technology in laptop category.",22101.50,Laptop,Macbook,Premium,FALSE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,0
Macbook Laptop Model I 2029,"This is a premium Macbook Laptop Model I 2029 designed for ultimate performance and style. Featuring the latest technology in laptop category.",42153.71,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,72
Macbook Laptop Model J 2030,"This is a premium Macbook Laptop Model J 2030 designed for ultimate performance and style. Featuring the latest technology in laptop category.",27214.52,Laptop,Macbook,Premium,TRUE,https://images.unsplash.com/photo-1517336715481-b51218b51d1a?q=80&w=800&auto=format&fit=crop,99
Samsung Laptop Model A 2021,"This is a premium Samsung Laptop Model A 2021 designed for ultimate performance and style. Featuring the latest technology in laptop category.",25032.59,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,64
Samsung Laptop Model B 2022,"This is a premium Samsung Laptop Model B 2022 designed for ultimate performance and style. Featuring the latest technology in laptop category.",49051.97,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,94
Samsung Laptop Model C 2023,"This is a premium Samsung Laptop Model C 2023 designed for ultimate performance and style. Featuring the latest technology in laptop category.",19901.48,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,34
Samsung Laptop Model D 2024,"This is a premium Samsung Laptop Model D 2024 designed for ultimate performance and style. Featuring the latest technology in laptop category.",42237.54,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,53
Samsung Laptop Model E 2025,"This is a premium Samsung Laptop Model E 2025 designed for ultimate performance and style. Featuring the latest technology in laptop category.",45765.44,Laptop,Samsung,Premium,FALSE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,0
Samsung Laptop Model F 2026,"This is a premium Samsung Laptop Model F 2026 designed for ultimate performance and style. Featuring the latest technology in laptop category.",7704.12,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,26
Samsung Laptop Model G 2027,"This is a premium Samsung Laptop Model G 2027 designed for ultimate performance and style. Featuring the latest technology in laptop category.",9808.08,Laptop,Samsung,Premium,FALSE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,0
Samsung Laptop Model H 2028,"This is a premium Samsung Laptop Model H 2028 designed for ultimate performance and style. Featuring the latest technology in laptop category.",6272.38,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,88
Samsung Laptop Model I 2029,"This is a premium Samsung Laptop Model I 2029 designed for ultimate performance and style. Featuring the latest technology in laptop category.",39398.73,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,66
Samsung Laptop Model J 2030,"This is a premium Samsung Laptop Model J 2030 designed for ultimate performance and style. Featuring the latest technology in laptop category.",17998.89,Laptop,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=800&auto=format&fit=crop,86
Asus Laptop Model A 2021,"This is a premium Asus Laptop Model A 2021 designed for ultimate performance and style. Featuring the latest technology in laptop category.",41856.95,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,49
Asus Laptop Model B 2022,"This is a premium Asus Laptop Model B 2022 designed for ultimate performance and style. Featuring the latest technology in laptop category.",14771.17,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,73
Asus Laptop Model C 2023,"This is a premium Asus Laptop Model C 2023 designed for ultimate performance and style. Featuring the latest technology in laptop category.",7810.69,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,35
Asus Laptop Model D 2024,"This is a premium Asus Laptop Model D 2024 designed for ultimate performance and style. Featuring the latest technology in laptop category.",16891.02,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,65
Asus Laptop Model E 2025,"This is a premium Asus Laptop Model E 2025 designed for ultimate performance and style. Featuring the latest technology in laptop category.",10759.38,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,59
Asus Laptop Model F 2026,"This is a premium Asus Laptop Model F 2026 designed for ultimate performance and style. Featuring the latest technology in laptop category.",30444.70,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,20
Asus Laptop Model G 2027,"This is a premium Asus Laptop Model G 2027 designed for ultimate performance and style. Featuring the latest technology in laptop category.",26582.22,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,35
Asus Laptop Model H 2028,"This is a premium Asus Laptop Model H 2028 designed for ultimate performance and style. Featuring the latest technology in laptop category.",29914.73,Laptop,Asus,Premium,FALSE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,0
Asus Laptop Model I 2029,"This is a premium Asus Laptop Model I 2029 designed for ultimate performance and style. Featuring the latest technology in laptop category.",26626.20,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,19
Asus Laptop Model J 2030,"This is a premium Asus Laptop Model J 2030 designed for ultimate performance and style. Featuring the latest technology in laptop category.",25942.82,Laptop,Asus,Premium,TRUE,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800&auto=format&fit=crop,11
Acer Laptop Model A 2021,"This is a premium Acer Laptop Model A 2021 designed for ultimate performance and style. Featuring the latest technology in laptop category.",26883.91,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,91
Acer Laptop Model B 2022,"This is a premium Acer Laptop Model B 2022 designed for ultimate performance and style. Featuring the latest technology in laptop category.",19683.71,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,59
Acer Laptop Model C 2023,"This is a premium Acer Laptop Model C 2023 designed for ultimate performance and style. Featuring the latest technology in laptop category.",20749.11,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,97
Acer Laptop Model D 2024,"This is a premium Acer Laptop Model D 2024 designed for ultimate performance and style. Featuring the latest technology in laptop category.",16703.55,Laptop,Acer,Standard,FALSE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,0
Acer Laptop Model E 2025,"This is a premium Acer Laptop Model E 2025 designed for ultimate performance and style. Featuring the latest technology in laptop category.",18137.30,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,32
Acer Laptop Model F 2026,"This is a premium Acer Laptop Model F 2026 designed for ultimate performance and style. Featuring the latest technology in laptop category.",12582.05,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,32
Acer Laptop Model G 2027,"This is a premium Acer Laptop Model G 2027 designed for ultimate performance and style. Featuring the latest technology in laptop category.",24578.42,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,70
Acer Laptop Model H 2028,"This is a premium Acer Laptop Model H 2028 designed for ultimate performance and style. Featuring the latest technology in laptop category.",43236.91,Laptop,Acer,Standard,FALSE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,0
Acer Laptop Model I 2029,"This is a premium Acer Laptop Model I 2029 designed for ultimate performance and style. Featuring the latest technology in laptop category.",10384.96,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,34
Acer Laptop Model J 2030,"This is a premium Acer Laptop Model J 2030 designed for ultimate performance and style. Featuring the latest technology in laptop category.",19438.21,Laptop,Acer,Standard,TRUE,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?q=80&w=800&auto=format&fit=crop,46
Lenovo Laptop Model A 2021,"This is a premium Lenovo Laptop Model A 2021 designed for ultimate performance and style. Featuring the latest technology in laptop category.",24739.86,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,90
Lenovo Laptop Model B 2022,"This is a premium Lenovo Laptop Model B 2022 designed for ultimate performance and style. Featuring the latest technology in laptop category.",34894.74,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,90
Lenovo Laptop Model C 2023,"This is a premium Lenovo Laptop Model C 2023 designed for ultimate performance and style. Featuring the latest technology in laptop category.",26297.17,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,96
Lenovo Laptop Model D 2024,"This is a premium Lenovo Laptop Model D 2024 designed for ultimate performance and style. Featuring the latest technology in laptop category.",11907.81,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,59
Lenovo Laptop Model E 2025,"This is a premium Lenovo Laptop Model E 2025 designed for ultimate performance and style. Featuring the latest technology in laptop category.",9623.11,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,43
Lenovo Laptop Model F 2026,"This is a premium Lenovo Laptop Model F 2026 designed for ultimate performance and style. Featuring the latest technology in laptop category.",24771.91,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,42
Lenovo Laptop Model G 2027,"This is a premium Lenovo Laptop Model G 2027 designed for ultimate performance and style. Featuring the latest technology in laptop category.",20178.78,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,72
Lenovo Laptop Model H 2028,"This is a premium Lenovo Laptop Model H 2028 designed for ultimate performance and style. Featuring the latest technology in laptop category.",10178.71,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,43
Lenovo Laptop Model I 2029,"This is a premium Lenovo Laptop Model I 2029 designed for ultimate performance and style. Featuring the latest technology in laptop category.",22557.42,Laptop,Lenovo,Standard,TRUE,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=800&auto=format&fit=crop,59
